0,-0.464395,-2.63663,10.5377,-14.0798,0
1,-0.452841,-2.63805,10.5369,-14.0698,0
2,-0.452499,-2.63881,10.5374,-14.0664,1
3,-0.45168,-2.63823,10.5375,-14.0664,1
4,-0.520744,-2.45208,10.3487,-802.136,2
5,-0.451649,-2.65308,10.5437,-14.0268,6
6,-0.448922,-2.65368,10.5427,-14.0282,6
7,-0.43499,-2.63022,10.5433,-14.0776,7
8,-0.43396,-2.63148,10.5423,-14.0787,7
9,-0.440649,-2.64599,10.5394,-14.0702,8
10,-0.349476,-2.6135,10.9026,-994.666,9
11,-0.434889,-2.60191,10.5185,-14.0425,9
12,-0.440892,-2.59894,10.5213,-14.1031,10
13,-0.500342,-2.63524,10.9411,-981.243,10
14,-0.435985,-2.59985,10.5193,-14.0781,11
15,-0.580874,-2.85162,10.305,-709.598,12
16,-0.436724,-2.59913,10.5197,-14.0901,12
17,-0.499746,-2.61125,10.5289,-14.0827,18
18,-0.49851,-2.61134,10.5282,-14.0787,18
19,-0.486901,-2.60588,10.5295,-14.1626,19
20,-0.536412,-2.73433,10.7009,-729.054,20
21,-0.496795,-2.72908,10.6926,-742.317,20
22,-0.491114,-2.59614,10.5247,-14.11,22
23,-0.490836,-2.59547,10.5245,-14.1116,22
24,-0.471522,-2.59327,10.523,-14.1798,25
25,-0.419143,-2.63398,10.5312,-14.0118,26
26,-0.419036,-2.63468,10.5309,-14.0152,26
27,-0.421783,-2.63145,10.5319,-14.0094,28
28,-0.420609,-2.6322,10.5313,-14.012,28
29,-0.404964,-2.67858,10.5431,-14.0027,29
