0,-4.04637,-3.47893,22.075,-14.1011,0
1,-3.95684,-3.69035,22.372,-1054.3,0
2,-4.03154,-3.49141,22.0678,-8.128,1
3,-4.02979,-3.49202,22.0684,-8.13331,2
4,-4.0307,-3.48932,22.066,-14.496,3
5,-4.02207,-3.48346,22.0728,-14.3841,4
6,-4.03464,-3.47684,22.0744,-20.7653,5
7,-4.03437,-3.47669,22.0746,-14.2245,7
8,-4.0909,-3.48159,22.0741,-14.8997,8
9,-4.03496,-3.47633,22.0747,-14.2283,8
10,-4.08607,-3.30918,21.7021,-955.019,9
11,-4.03036,-3.48218,22.0668,-14.5153,11
12,-4.03176,-3.47759,22.0744,-20.7817,12
13,-3.99663,-3.48175,22.0868,-20.9736,13
14,-4.032,-3.49982,22.0795,-14.2,14
15,-3.99681,-3.47555,22.0877,-21.0103,15
16,-4.01786,-3.50503,22.0757,-20.7901,16
17,-4.01844,-3.50577,22.0757,-20.7895,17
18,-4.03452,-3.50394,22.0792,-7.5487,18
19,-4.03471,-3.5036,22.0794,-7.54498,18
20,-3.96197,-3.37037,22.275,-696.05,20
21,-3.9907,-3.4256,22.0847,-27.6097,21
22,-3.99655,-3.44372,22.076,-20.6361,22
23,-4.09449,-3.52044,21.8553,-655.923,23
24,-3.99135,-3.43627,22.0779,-20.6547,24
25,-4.00599,-3.44887,22.0746,-20.707,25
26,-4.00629,-3.45118,22.07,-14.3361,26
27,-4.00712,-3.44807,22.0698,-14.2915,27
28,-3.99595,-3.44289,22.0757,-20.6364,28
29,-3.99117,-3.44101,22.0763,-20.6382,29
