0,2,4.97206,0.236872,1.10075,-296.004,2,4,5
1,2,4.97206,0.236872,1.10075,-296.004,2,7,8
2,2,4.97298,1.99092,2.10802,-255.705,1,4,5
3,2,4.5802,2.40755,2.63367,-123.267,2,4,5
4,5,7.16359,0.579898,6.46035,-316.815,4,6,7
5,5,8.39763,1.43145,7.45183,-96.5148,4,6,7
6,4,8.41317,2.52476,9.06815,-62.3418,4,6,7
7,4,8.30113,2.44532,10.7829,-8.91877,4,6,7
8,3,5.74507,0.64778,9.01653,-108.696,3,4,5
9,1,2.33755,-0.442719,9.42337,-175.87,1,15,16
10,0,1.13831,1.32853,4.38214,-54.4529,0,17,18
11,0,4.48609,-1.6287,5.13824,-254.496,0,7,8
12,0,5.48863,-2.71985,6.19877,-3.65423,0,4,8
13,1,-7.05452,-2.83595,9.31505,-94.6629,1,7,17
14,1,-8.09106,-2.73694,9.47187,-261.824,1,7,17
15,2,3.15209,-2.47999,12.6596,-7.63794,2,7,8
16,2,4.75182,-2.57567,11.4999,-0.592304,2,7,8
17,2,4.81969,-2.77196,10.9825,-7.54296,2,7,8
18,2,4.8181,-2.8342,10.3865,-1.06896,2,7,8
19,5,-5.61271,-2.77394,9.91804,-55.4441,5,7,20
20,9,-8.19282,-2.70886,9.59946,-67.698,8,7,17
21,4,1.32066,-2.58114,11.4711,-0.670539,4,15,16
22,4,1.71488,-3.20254,12.0154,-0.577585,4,18,21
23,8,-2.36807,-3.49227,16.826,-61.0217,8,15,19
24,6,-2.3736,-5.56143,17.5775,-162.861,7,15,19
25,6,-2.18357,-6.48769,17.2907,-345.378,6,18,22
26,7,-2.1016,-7.62846,18.1488,-49.2509,5,18,22
27,6,-1.94154,-7.6266,19.7736,-75.1841,6,18,22
28,5,-5.0451,-3.76612,22.619,-34.6381,5,17,20
29,5,-5.09349,-5.80264,24.3477,-29.0386,7,7,20
30,5,-4.61618,-6.63478,23.8041,-28.9383,5,18,22
31,6,-4.5478,-7.64542,23.5423,-1.60643,5,7,20
32,6,-4.61903,-8.20702,23.0031,-0.979311,6,17,20
33,6,-4.6455,-8.25571,21.4207,-14.164,6,7,20
34,12,-5.88072,0.00785982,14.5122,-21.4133,12,4,23
35,12,-6.24972,0.606242,15.6679,-28.5251,12,7,23
36,11,-7.99461,0.107473,15.3089,-115.407,11,4,23
37,9,-8.36623,1.04791,13.5605,-109.016,9,4,23
38,9,-8.27926,1.19566,12.4559,-35.0681,9,4,23
39,10,-4.28211,-0.138414,11.9574,-68.6559,10,7,19
40,10,-3.50315,-0.690687,12.3809,-8.20622,10,15,19
41,11,-1.96552,-0.238171,13.5143,-202.922,11,15,19
42,13,-1.82175,1.92907,16.5306,-8.7238,12,7,19
43,13,-1.81912,1.87975,17.0541,-1.55996,13,15,19
44,9,5.16198,-2.4225,18.882,-0.699119,9,7,8
45,19,-5.35945,-4.02778,17.1133,17.896219532,19,7,8
